"Year","Wicket","Date","Total","Undefeated","Bat1","Bat1Score","Bat1NotOut","Bat2","Bat2Score","Bat2NotOut","Opp"
1959,4,1959-05-16 00:00:00,60,0,"gwip",42,0,"keye",43,1,"Boldre"
1959,5,1959-07-19 00:00:00,75,0,"ster",72,0,"solw",43,0,"LCS Yiewsley"
1959,6,1959-08-16 00:00:00,74,0,"vign",57,0,"oxls",28,1,"RA Assn (Surbiton)"
1959,7,1959-09-13 00:00:00,65,0,"ster",71,0,"ever",28,0,"Grange Mills"
1959,8,1959-07-26 00:00:00,21,0,"onlg",38,0,"brad",15,0,"West London"
1959,9,1959-06-14 00:00:00,39,0,"oxld",52,1,"mouc",11,0,"South Harrow"
1959,10,1959-09-13 00:00:00,10,0,"solw",8,0,"stav",1,1,"Grange Mills"
1960,1,1960-05-22 00:00:00,68,0,"gwip",60,0,"onlg",15,0,"Wycombe House"
1960,2,1960-08-28 00:00:00,58,0,"onlg",58,0,"ster",33,0,"Yiewsley LCS"
1960,3,1960-05-18 00:00:00,43,0,"gwip",41,0,"mouc",13,0,"Wimbledon Park"
1960,4,1960-08-21 00:00:00,137,0,"oxld",88,0,"onlg",72,0,"Walton Park"
1960,5,1960-06-29 00:00:00,46,0,"heal",62,0,"layr",21,0,"Banstead Hospital"
1960,6,1960-06-29 00:00:00,42,0,"heal",62,0,"knid",9,0,"Banstead Hospital"
1960,7,1960-06-19 00:00:00,32,0,"bakj",31,1,"brad",14,0,"RA Assn (Surbiton)"
1960,8,1960-08-25 00:00:00,77,0,"oxls",49,0,"bakj",48,1,"Daily Express"
1960,9,1960-09-11 00:00:00,23,0,"oxls",29,1,"solw",5,0,"Grange Mills"
1960,10,1960-05-01 00:00:00,10,0,"oxls",34,1,"stav",3,0,"Ministry Of Works"
1960,11,1960-05-01 00:00:00,14,1,"oxls",34,1,"solw",10,1,"Ministry of Works1"
1961,1,1961-05-14 00:00:00,52,0,"onlg",51,0,"oxld",25,0,"RA Assn (Surbiton)"
1961,2,1961-06-18 00:00:00,84,0,"vign",56,0,"oxld",53,0,"South Harrow"
1961,3,1961-07-23 00:00:00,41,0,"gwip",42,0,"char",14,0,"Grange Mills"
1961,4,1961-08-20 00:00:00,45,0,"ster",71,0,"sewd",6,0,"Walton Park"
1961,5,1961-06-25 00:00:00,43,0,"onlg",50,1,"vign",46,0,"Beddington Village"
1961,6,1961-06-25 00:00:00,48,0,"onlg",50,1,"sewp",9,0,"BeddingtonVillage"
1961,7,1961-06-18 00:00:00,46,1,"char",56,1,"layr",9,1,"South Harrow"
1961,8,1961-07-23 00:00:00,34,0,"onlg",54,0,"bakj",14,0,"Grange Mills"
1961,9,1961-07-23 00:00:00,51,0,"solw",54,1,"onlg",54,0,"Grange Mills"
1961,10,1961-07-23 00:00:00,50,1,"solw",54,1,"nibk",10,1,"Grange Mills"
1961,11,1961-07-27 00:00:00,16,1,"nibk",9,1,"mouc",7,1,"Beaverbrook Newspapers"
1962,1,1962-08-12 00:00:00,41,0,"oxls",62,0,"onlg",18,0,"West Beckenham Cons"
1962,2,1962-06-24 00:00:00,49,0,"onlg",41,0,"vign",14,0,"Beddington Village"
1962,3,1962-07-29 00:00:00,119,0,"vign",62,0,"gwip",57,0,"Recorders"
1962,3,1962-09-30 00:00:00,87,0,"vign",100,1,"gwip",33,0,"Pyrford"
1962,4,1962-07-08 00:00:00,53,0,"char",101,1,"oxld",15,0,"Banstead Wayfarers"
1962,5,1962-09-30 00:00:00,73,0,"vign",100,1,"gwip",33,0,"Pyrford"
1962,6,1962-05-16 00:00:00,36,0,"bakj",35,0,"layr",9,0,"Wimbledon Park"
1962,7,1962-05-20 00:00:00,58,0,"ster",39,0,"oxls",18,0,"University Vandals"
1962,8,1962-08-15 00:00:00,26,1,"bakj",73,1,"knid",5,1,"Banstead Hospital"
1962,9,1962-07-22 00:00:00,18,0,"solw",17,1,"mouc",11,0,"Grange Mills"
1962,10,1962-05-20 00:00:00,15,0,"ster",39,0,"knid",11,1,"University Vandals"
1962,11,1962-07-11 00:00:00,6,0,"knid",8,1,"nibk",1,0,"Newdigate"
1963,1,1963-05-12 00:00:00,90,0,"ster",50,0,"onlg",50,0,"RA Assn (Surbiton)"
1963,2,1963-05-18 00:00:00,140,0,"vign",76,0,"onlg",69,1,"Wimbledon Village"
1963,2,1963-06-15 00:00:00,83,0,"char",42,0,"vign",40,0,"MWB Brixton"
1963,2,1963-07-21 00:00:00,113,0,"oxld",59,0,"vign",59,0,"Clapham Odd's"
1963,2,1963-09-05 00:00:00,84,0,"madd",55,1,"popd",50,0,"Beaverbrook Newspapers"
1963,2,1963-09-21 00:00:00,147,0,"vign",106,0,"onlg",56,1,"Swans Tours"
1963,3,1963-06-08 00:00:00,123,0,"vign",84,0,"vaum",39,0,"Battersea"
1963,4,1963-07-21 00:00:00,55,0,"char",50,1,"layr",26,0,"Clapham Odd's"
1963,5,1963-05-19 00:00:00,47,0,"ster",33,0,"char",26,0,"University Vandals"
1963,6,1963-07-21 00:00:00,48,0,"char",50,1,"popd",30,0,"Clapham Odd's"
1963,7,1963-06-29 00:00:00,56,0,"vaum",47,0,"oror",16,1,"Merton Saints"
1963,8,1963-07-24 00:00:00,44,0,"popd",53,0,"mouc",20,0,"Daily & Sunday Mirror"
1963,9,1963-09-22 00:00:00,25,0,"gwip",33,0,"knid",5,0,"Kilburn"
1963,10,1963-07-20 00:00:00,33,0,"denr",19,0,"oror",17,1,"Raynes Park Reserves"
1964,1,1964-07-19 00:00:00,127,0,"char",81,0,"layr",65,0,"Courage & Barclay"
1964,1,1964-09-12 00:00:00,82,0,"layr",49,0,"vign",35,0,"Merton Saints"
1964,2,1964-05-10 00:00:00,75,0,"char",57,1,"vign",32,0,"Molesey Hurst"
1964,2,1964-07-19 00:00:00,85,0,"layr",65,0,"vign",65,0,"Courage & Barclay"
1964,2,1964-08-30 00:00:00,77,0,"vign",44,0,"onlg",33,0,"Old Midwhitgiftians"
1964,3,1964-05-31 00:00:00,75,0,"vign",63,0,"onlg",34,0,"KLG"
1964,3,1964-06-27 00:00:00,104,0,"vign",78,0,"onlg",41,1,"Surrey Grove"
1964,4,1964-08-12 00:00:00,96,1,"popd",70,1,"mcar",40,1,"Banstead Hospital"
1964,5,1964-07-18 00:00:00,78,1,"vaum",45,1,"andj",40,1,"Northwood"
1964,6,1964-07-26 00:00:00,46,1,"vign",88,1,"redd",8,1,"Invincibles"
1964,7,1964-09-27 00:00:00,76,0,"char",100,1,"solw",32,0,"Pyrford"
1964,8,1964-06-13 00:00:00,33,0,"andj",25,0,"oror",8,1,"Battersea College"
1964,9,1964-08-29 00:00:00,51,1,"murb",37,1,"oror",17,1,"Hillingdon"
1964,10,1964-08-29 00:00:00,43,1,"char",100,1,"mouc",12,1,"Pyrford"
1964,11,1964-07-22 00:00:00,28,0,"knid",14,0,"simm",12,1,"Beaverbrook"
1965,1,1965-05-15 00:00:00,78,0,"onlg",48,0,"oxls",32,0,"Northcliffe"
1965,1,1965-05-30 00:00:00,84,0,"onlg",46,1,"oxls",33,0,"City of London College"
1965,1,1965-08-14 00:00:00,110,0,"onlg",69,1,"gwip",55,0,"Utilex"
1965,2,1965-08-28 00:00:00,57,0,"onlg",53,0,"gwip",26,0,"Park Hill"
1965,3,1965-07-21 00:00:00,91,0,"popd",80,0,"gwip",46,0,"Buckingham"
1965,3,1965-08-01 00:00:00,87,0,"vign",58,0,"char",39,0,"Devas"
1965,4,1965-05-23 00:00:00,78,0,"char",78,1,"popd",50,0,"Binfield"
1965,4,1965-06-20 00:00:00,116,0,"popd",96,1,"onlg",43,0,"Beddington Village"
1965,5,1965-09-19 00:00:00,88,0,"popd",64,1,"char",37,0,"Murray Sports"
1965,6,1965-09-18 00:00:00,42,0,"vaum",44,0,"sewd",7,0,"Park Hill"
1965,7,1965-06-13 00:00:00,29,0,"popd",25,0,"mouc",5,0,"South Harrow"
1965,8,1965-06-07 00:00:00,42,0,"char",85,0,"vaum",19,0,"NEM"
1965,9,1965-06-07 00:00:00,34,0,"char",85,0,"simm",3,1,"NEM"
1965,10,1965-06-05 00:00:00,23,1,"mitr",20,1,"oror",8,1,"R A Association (Surbiton)"
1966,1,1966-08-27 00:00:00,202,0,"vign",97,0,"onlg",93,0,"Park Hill"
1966,2,1966-05-30 00:00:00,100,0,"vign",75,0,"char",46,0,"NEM"
1966,2,1966-06-05 00:00:00,117,0,"char",88,0,"oxld",34,0,"Westmead"
1966,2,1966-07-23 00:00:00,75,0,"char",89,1,"onlg",21,0,"Raynes Park"
1966,2,1966-08-14 00:00:00,78,0,"popd",56,0,"vign",49,0,"Old Colfeians"
1966,2,1966-09-18 00:00:00,91,0,"vign",75,0,"onlg",32,0,"Tolworth"
1966,3,1966-08-07 00:00:00,132,0,"onlg",85,0,"vign",80,0,"Westmead"
1966,4,1966-07-30 00:00:00,71,1,"knic",50,1,"vaum",40,1,"Old Rutlishians"
1966,5,1966-07-02 00:00:00,73,0,"oxls",59,1,"knic",39,0,"Northcliffe"
1966,6,1966-09-10 00:00:00,69,1,"vaum",116,1,"shep",15,1,"Passport Offices"
1966,7,1966-08-20 00:00:00,44,0,"murb",32,0,"brad",27,0,"Raynes Park Res"
1966,8,1966-06-04 00:00:00,25,0,"mitr",19,1,"sewd",15,0,"R A Assn (Surbiton)"
1966,9,1966-06-08 00:00:00,35,0,"lamt",23,0,"shep",13,0,"Surbiton"
1966,10,1966-08-20 00:00:00,19,0,"mitr",16,0,"woot",7,1,"Raynes Park Res"
1967,1,1967-08-20 00:00:00,92,0,"vign",63,0,"onlg",42,0,"KLG"
1967,2,1967-08-05 00:00:00,158,1,"onlg",104,1,"oxls",62,1,"Raynes Park Res"
1967,3,1967-07-01 00:00:00,46,0,"char",53,0,"sewp",50,0,"Surrey Grove"
1967,3,1967-07-22 00:00:00,46,0,"onlg",60,0,"howv",18,0,"Old Xaverians"
1967,4,1967-06-18 00:00:00,95,0,"popd",62,0,"onlg",46,0,"South Harrow"
1967,5,1967-07-09 00:00:00,71,0,"onlg",43,0,"vign",40,1,"Clifford & Snl"
1967,5,1967-09-09 00:00:00,71,0,"mitr",49,0,"knic",34,0,"Park Hill"
1967,6,1967-07-15 00:00:00,76,0,"onlg",73,1,"mitr",26,0,"Bec Old Boys"
1967,7,1967-07-16 00:00:00,38,0,"solw",28,0,"redd",17,0,"Croydon"
1967,8,1967-07-06 00:00:00,75,1,"popd",84,1,"oxls",17,1,"Greald Row Police"
1967,9,1967-08-26 00:00:00,28,1,"brad",16,1,"shep",12,1,"BMP"
1967,10,1967-07-23 00:00:00,15,0,"solw",13,1,"shep",7,0,"Courage & B"
1968,1,1968-07-20 00:00:00,81,0,"onlg",43,0,"sewp",40,0,"Old Xaverians"
1968,2,1968-05-12 00:00:00,45,0,"vign",50,0,"sewp",19,0,"Molesey Hurst"
1968,3,1968-07-07 00:00:00,81,0,"onlg",82,1,"vign",30,0,"Croydon"
1968,3,1968-08-21 00:00:00,147,0,"lyug",118,1,"knid",57,0,"Wimbledon Park"
1968,4,1968-09-21 00:00:00,64,0,"char",37,0,"warr",27,0,"Murray Sports"
1968,5,1968-05-04 00:00:00,67,1,"howv",44,1,"mitr",28,1,"South Wimbledon"
1968,6,1968-09-07 00:00:00,72,0,"pinb",44,0,"howv",29,0,"Park Hill"
1968,7,1968-07-21 00:00:00,31,0,"knid",11,0,"pinb",11,0,"Courage & B"
1968,8,1968-07-06 00:00:00,25,0,"vaum",35,0,"knid",18,0,"Northcliffe"
1968,9,1968-07-16 00:00:00,96,0,"char",107,1,"shep",39,0,"South Harrow"
1968,10,1968-09-05 00:00:00,14,1,"foxd",16,1,"nibk",1,1,"Daily Mirror"
1969,1,1969-06-28 00:00:00,78,0,"onlg",51,0,"oxls",38,1,"Surrey Grove"
1969,2,1969-05-03 00:00:00,100,0,"sewp",73,0,"bakj",52,0,"South Wimbledon"
1969,3,1969-09-13 00:00:00,65,0,"camr",48,1,"pint",34,0,"Englefield Green"
1969,4,1969-05-26 00:00:00,78,0,"vign",68,0,"sewp",34,0,"Auriol"
1969,4,1969-08-23 00:00:00,92,0,"pint",93,0,"sewp",26,0,"Sunbury Village"
1969,4,1969-09-27 00:00:00,92,0,"onlg",118,0,"oxls",28,0,"Surrey Grove"
1969,5,1969-06-07 00:00:00,95,0,"pint",83,0,"shaa",38,0,"South Wimbledon"
1969,6,1969-05-25 00:00:00,43,1,"murs",37,1,"shep",13,1,"Finchamstead"
1969,7,1969-07-27 00:00:00,39,0,"shep",29,1,"vaum",27,0,"Old Xaverians"
1969,8,1969-06-07 00:00:00,59,0,"brad",52,1,"oxls",21,0,"South Wimbledon"
1969,9,1969-07-20 00:00:00,23,0,"onlg",70,1,"shep",9,0,"Courage & B"
